Lp.,Nazwa,Stan,Zasoby geologiczne bilansowe Razem,Zasoby geologiczne bilansowe A+B+C1,Zasoby wydobywalne bilansowe C2+D,Zasoby przemyslowe,Wydobycie
91,Rozbark,Z,"
82 020",77 341,4 679,-,-
92,Rydułtowy,E,184 626,88 333,96 293,92 770,1 857
93,Rymer,Z,120 868,31 705,89 163,-,-
94,Saturn,Z,61 074,28 651,32 423,-,-
95,Siemianowice,"
Z",44 765,35 918,8 847,-,-
96,"Siemianowice-
Szopienice I",Z,36 465,36 405,60,-,-
97,Siersza,Z,226 804,207 127,19 677,-,-
98,"
Silesia",E,505 175,326 562,178 613,128 926,499
99,Sosnowiec,Z,33 970,31 735,2 235,-,-
100,Sośnica,E,403 777,306 963,96 814,115 658,2 100
101,Spytkowice,P,662 614,-,662 614,-,-
102,"
Staszic",E,628 109,541 626,86 483,113 413,1 970
103,Studzienice,R,1 055 993,13 329,1 042 664,-,-
104,Studzionka-Mizerów,P,180 000,-,180 000,-,-
105,Sumina,P,300 000,-,300 000,-,-
106,Szczygłowice,E,632 230,396 608,235 622,120 665,1 662
107,Śląsk,E,149 369,127 509,21 860,28 470,851
108,"
Śląsk-Pole Panewnickie",E,114 266,109 503,4 763,11 512,86
109,Tenczynek,P,64 543,-,64 543,-,-
111,Wesoła,E,739 249,620 439,118 810,103 304,2 797
112,Wieczorek,E,118 838,112 860,5 978,"
28 977",1 227
113,Wisła I i Wisła II-1,E,546 630,171 465,375 165,34 077,132
114,Wisła I-Wisła II,P,822 766,-,822 766,-,-
115,Wisła-Północ,P,303 969,-,"
303 969",-,-
116,Wojkowice,Z,19 430,15 713,3 717,-,-
117,Wujek,E,112 372,88 003,24 369,11 073,268
118,Wujek-część południowa,R,253 428,142 464,110 964,-,-
119,Wujek-część Stara Ligota,E,93 804,82 698,11 106,43 705,771
120,Za rowem bełckim,P,342 502,-,"
342 502",-,-
121,Zabrze-Bielszowice,E,522 319,484 772,37 547,271 198,1 840
122,Zator,P,347 145,-,347 145,-,-
123,Zebrzydowice,P,108 439,-,108 439,-,-
124,Ziemowit,E,914 560,539 389,375 171,102 123,4 053
125,Zofiówka,E,401 154,"
314 513",86 641,101 458,1 566
126,ory,Z,153 256,60 348,92 908,-,-
127,ory-Suszec,R,1 288 591,66 226,1 222 365,-,-
128,ory-Warszowice,R,151 916,"
147 684",4 232,-,-
1,Bogdanka,E,798 909,667 715,131 194,313 555,6 658
2,Chełm II,P,1 034 514,-,1 034 514,-,-
3,Kolechowice Nowe,P,2 257 374,-,2 257 374,-,-
4,Lublin K-3,R,"
76 301",43 208,33 093,-,-
5,Lublin K-4-5,P,453 016,-,453 016,-,-
6,Lublin K-6-7,R,386 390,376 216,10 174,-,-
7,Lublin K-8,R,250 262,213 463,36 799,-,-
8,Lublin K-9,"
R",237 586,155 160,82 426,-,-
9,Orzechów (d. Łęczna),P,1 827 942,-,1 827 942,-,-
10,Ostrów,R,853 479,571 140,282 339,-,-
11,Sawin,P,1 083 685,-,1 083 685,-,-
