Lp.,Nazwa,Typ wody,Zasoby geologiczne bilansowe dyspozycyjne,Zasoby geologiczne bilansowe eksploatacyjne,Pobor,Powiat
14,Łomnica-Zdrój,Lz,32.70,20.47,nie ekspl.,nowosądecki
15,Milik*,Lz,22.90,12.12,"
47 654.61",nowosądecki
16,"Muszyna, Złockie,
Powroźnik, Jastrzębik,
Szczawnik*",LzLs,71.40,90.08,118 837.00,nowosądecki
17,Piwniczna-Zdrój*,Lz,33.30,24.95,87 698.80,nowosądecki
18,Poronin,T,-,"
70.00",nie ekspl.,tatrzański
19,Rabka-Zdrój*,LzT,2.28,6.44,3 734.10,nowotarski
20,Szczawa*,Lz,-,2.53,203.20,limanowski
21,Szczawiczne*,Lz,6.03,3.69,3 639.00,nowosądecki
22,Szczawnica*,Lz,"
-",2.46,9 909.45,nowotarski
23,Szymoszkowa*,T,-,80.00,159 876.00,tatrzański
24,Tylicz*,Lz,"
48.42",12.40,26 293.79,nowosądecki
25,Wapienne*,Ls,-,2.92,nie ekspl.,gorlicki
26,Witów,T,-,125.00,nie ekspl.,nowotarski
27,Wojkowa*,Lz,"
-",2.10,nie ekspl.,nowosądecki
28,Wysowa-Zdrój*,LzLs,-,11.93,15 256.70,gorlicki
29,Zakopane*,T,-,130.00,418 772.00,tatrzański
30,Zubrzyk*,Lz,-,3.60,6 396.00,nowosądecki
31,egiestów-Zdrój*,Lz,3.40,4.90,8 113.00,nowosądecki
1,Konstancin-Jeziorna*,Lz,-,9.12,3 872.00,piaseczyński
2,Mszczonów*,T,-,60.00,259 179.00,Ŝyrardowski
1,Horyniec-Zdrój*,Ls,44.80,26.40,13 490.00,lubaczowski
2,Iwonicz-Zdrój*,LzLs,-,29.39,9 453.00,krośnieński
3,Latoszyn,Lz,-,1.30,nie ekspl.,dębicki
4,Lubatówka*,LzT,-,11.70,3 309.00,krośnieński
5,"
Polańczyk*",Lz,-,4.00,269.20,leski
6,Rymanów-Zdrój*,Lz,-,13.48,12 533.00,krośnieński
1,Krynica Morska,T,-,44.70,"
nie ekspl.",nowodworski
2,Sopot*,Lz,-,44.00,27 485.00,m. Sopot
3,Ustka*,Lz,-,31.00,nie ekspl.,słupski
1,Dębowiec*,Lz,74.13,5.67,322.00,cieszyński
2,Goczałkowice-Zdrój*,Lz,329.80,2.34,"
1 408.10",pszczyński
3,Ustroń*,LzT,25.00,2.20,4 806.00,cieszyński
4,Zabłocie*,Lz,-,0.64,18.20,cieszyński
1,Busko-Zdrój*,Lz,14.58,"
16.75",63 944.40,buski
2,Busko-Północ*,Lz,-,6.00,864.60,buski
3,Dobrowoda*,Lz,-,8.00,nie ekspl.,buski
4,Las Winiarski*,Lz,"
-",3.11,18 238.80,buski
5,Solec-Zdrój*,Lz,7.00,0.96,4 187.00,buski
6,Wełnin*,Lz,-,3.00,1 318.89,buski
1,Dobrów,T,-,60.00,nie ekspl.,kolski
2,Kotuń,LzT,"
-",15.70,nie ekspl.,pilski
3,Swarzędz,T,-,76.00,nie ekspl.,m. Poznań
1,Dziwnówek*,Lz,-,30.00,nie ekspl.,kamieński
2,Kamień Pomorski*,"
Lz",-,15.00,1 544.00,kamieński
3,Kołobrzeg*,Lz,-,98.52,16 269.00,kołobrzeski
4,Międzywodzie,Lz,-,1.40,nie ekspl.,kamieński
5,Połczyn-Zdrój*,Lz,-,2.80,1 211.00,świdwiński
6,Pyrzyce*,"
T",-,340.00,855 329.00,pyrzycki
7,Stargard Szczeciński*,T,-,200.00,352 284.00,stargardzki
8,Świnoujście*,Lz,-,23.80,12 334.00,m. Świnoujście
