Lp.,Nazwa,Stan,Zasoby geologiczne bilansowe Razem,Zasoby geologiczne bilansowe A+B+C1,Zasoby wydobywalne bilansowe C2+D,Zasoby przemyslowe,Wydobycie
82,Porąbka-Klimontów,Z,tylko pzb.,-,-,-,-
83,Powstańców Śląskich,Z,tylko pzb.,-,-,-,-
84,Rozalia,Z,tylko pzb.,-,-,-,-
85,Rozbark,Z,"
tylko pzb.",-,-,-,-
86,Rybn.-Jastrz.(pole rez.),R,24 141,3 437,20 704,-,-
87,Rydułtowy,E,172 265,71 932,100 333,70 640,1 050
88,Rymer,Z,tylko pzb.,-,-,-,-
89,Saturn,"
Z",tylko pzb.,-,-,-,-
90,Siemianowice OG Szop. I,Z,tylko pzb.,-,-,-,-
91,"Siemianowice OGSi.I,II",Z,tylko pzb.,-,-,-,-
92,Siemianowice (p. rez.),M,-,-,-,-,-
93,Siersza,"
Z",tylko pzb.,-,-,-,-
94,Siersza (obsz.rez.),M,-,-,-,-,-
95,Silesia,E,504 406,325 050,179 356,130 595,43
96,Silesia-Dankowice-Jawiszo.,R,198 668,111 169,87 499,-,-
97,"
Sosnowiec",Z,tylko pzb.,-,-,-,-
98,Sośnica,E,404 664,299 272,105 392,115 258,1 398
99,Spytkowice,P,662 614,-,662 614,-,-
100,Staszic,E,636 073,539 076,96 997,120 794,2 059
101,Studzienice,R,1 282 150,16 883,1 265 267,-,-
102,Studzionka-Mizerów,P,180 000,-,180 000,-,-
103,"
Sumina",P,300 000,-,300 000,-,-
104,Szczygłowice,E,637 703,401 593,236 110,125 279,1 395
105,Śląsk,E,152 381,129 777,22 604,27 639,409
107,Tenczynek,P,64 543,-,64 543,-,-
108,Warszowice-Pawłowice Płn.,R,239 421,78 838,160 583,"
-",-
109,Wesoła,E,748 282,630 300,117 982,89 782,2 664
110,Wieczorek,E,123 115,117 137,5 978,33 082,1 428
111,Wisła I i Wisła II-1,R,550 557,175 378,"
375 179",-,-
112,Wisła I-Wisła II,P,822 766,-,822 766,-,-
113,Wisła-Północ,P,303 969,-,303 969,-,-
114,Wojkowice,Z,tylko pzb.,-,-,-,-
115,Wujek,E,113 345,88 976,24 369,12 259,545
116,Wujek-część południowa,R,253 428,142 464,"
110 964",-,-
117,Wujek-część Stara Ligota,E,96 377,85 271,11 106,46 211,854
118,Za rowem bełckim,P,342 502,-,342 502,-,-
119,Zabrze-Bielszowice,E,526 405,488 858,37 547,275 610,1 666
120,Zator,P,347 145,-,347 145,-,-
121,Zebrzydowice,P,108 439,"
-",108 439,-,-
122,Ziemowit,E,926 101,535 573,390 528,111 861,3 756
123,Zofiówka,E,394 810,306 684,88 126,100 522,1 629
124,ory,Z,tylko pzb.,"
-",-,-,-
125,ory-Suszec,R,2 100 212,66 226,2 033 986,-,-
1,Bogdanka,E,811 048,679 854,131 194,325 668,4 988
2,Chełm II,P,1 034 514,-,1 034 514,-,-
3,Kolechowice Nowe,P,"
2 257 374",-,2 257 374,-,-
4,Lublin K-3,R,76 301,43 208,33 093,-,-
5,Lublin K-4-5,P,453 016,-,453 016,-,-
6,Lublin K-6-7,R,386 390,376 216,10 174,-,-
7,Lublin K-8,"
R",250 262,213 463,36 799,-,-
8,Lublin K-9,R,237 586,155 160,82 426,-,-
9,Orzechów (d. Łęczna),P,1 827 942,-,1 827 942,-,-
10,Ostrów,R,853 479,571 140,282 339,-,-
11,"
Sawin",P,1 083 685,-,1 083 685,-,-
